rank,model_id,prediction_type,rows,MAE,RMSE,MAPE,R2,peak_top_10pct_MAE
1,cnn_transformer_mc,mc_predictive_mean,18817,20.457324334378487,29.22878938237959,0.9674356698928697,0.9744798390698209,9.490604150783566
2,cnn_lstm_b,deterministic,18817,20.518584747834407,29.978151989182916,0.9796825660732733,0.9731545018422733,6.830960398136382
3,lstm,deterministic,18817,30.717722989849605,42.87672548019208,1.4729764539380967,0.9450832314414522,9.72688777354228
4,transformer,deterministic,18817,32.607367832279316,41.99772824650397,1.5426761284368011,0.947311801305373,15.680385401665957
5,cnn_transformer_b,deterministic,18817,38.7968929372376,46.38250776760937,1.7616929970788102,0.9357356373069448,46.87428110969928
6,cnn,deterministic,18817,39.45579921879152,52.36817936158117,1.7784587876790567,0.9180787248119764,56.47163262741776
